id,release_date,budget,revenue,adjusted_budget,num_of_tickets_sold,year,cost_per_ticket
956,2006-05-03,150000000,397850012,214580152.67175573,278112868.5805763,2006,6.55
957,1987-06-24,22700000,38119483,54398721.22762148,15906849.362860193,1987,3.91
978,1997-09-12,70000000,131457682,142897603.48583877,64396025.65421558,1997,4.59
985,1977-03-19,10000,7000000,42017.93721973094,1665955.1760939169,1977,2.23
987,1974-12-01,4000000,0,20042780.748663098,0.0,1974,1.87
990,1961-09-25,2000000,7600000,27159420.289855074,559658.48452508,1961,0.69
1018,2001-05-16,15000000,20117339,24832155.477031797,12151989.193169693,2001,5.66
1024,1994-09-02,5000000,3049135,11208133.971291864,1360233.1163287088,1994,4.18
1051,1971-10-09,1800000,41158757,10221818.181818182,7247806.728922091,1971,1.65
1073,1999-03-19,21500000,0,39656496.062992126,0.0,1999,5.08
1088,2003-01-30,8000000,41400000,12431177.446102817,26642689.434365,2003,6.03
1090,1999-04-16,16000000,18564088,29511811.023622043,10064628.286019212,1999,5.08
1091,1982-06-25,15000000,19629760,47806122.44897959,6159177.630736394,1982,2.94
1103,1981-05-22,6000000,50244700,20223021.582733814,14907178.86872999,1981,2.78
1116,2006-05-18,6500000,22889018,9298473.282442749,16000327.417289222,2006,6.55
1123,2006-10-27,14000000,5710236,20027480.916030534,3991680.448239061,2006,6.55
1124,2006-10-19,40000000,109676311,57221374.04580153,76668072.25720385,2006,6.55
1125,2006-12-25,70000000,154937680,100137404.58015268,108307556.45677695,2006,6.55
1164,2006-09-08,25000000,135330182,35763358.77862595,94601141.09925294,2006,6.55
1165,2006-09-15,15000000,123384128,21458015.26717557,86250377.6307364,2006,6.55
1213,1999-12-25,40000000,128798265,73779527.5590551,69828728.51654217,1999,5.08
1245,1993-11-05,11500000,23237911,26027777.777777776,10267337.410885807,1993,4.14
1246,2006-12-20,24000000,155721132,34332824.42748091,108855220.34151548,2006,6.55
1248,2007-02-06,50000000,82169884,68095930.23255813,60333916.96051228,2007,6.88
