id,budget,revenue,release_date,adjusted_revenue,year,cost_per_ticket,adjusted_budget,num_of_ticket_sold
9776,35200000,37788228,2003-01-01,58719020.955223866,2003,6.03,54697180.76285239,6266704.47761194
9782,0,10639686,2006-02-12,15220436.308396947,2006,6.55,0.0,1624379.541984733
9783,0,0,2007-06-15,0.0,2007,6.88,0.0,0.0
9793,15000000,0,2007-03-22,0.0,2007,6.88,20428779.06976744,0.0
9819,23000000,12803305,1996-12-18,27141847.929864254,1996,4.42,48757918.552036196,2896675.339366516
9821,0,0,1998-10-23,0.0,1998,4.69,0.0,0.0
9822,90000000,0,1998-12-25,0.0,1998,4.69,179808102.34541574,0.0
9839,35000000,0,2003-10-23,0.0,2003,6.03,54386401.32669982,0.0
9893,10000000,10143022,2004-07-09,15304366.528180353,2004,6.21,15088566.82769726,1633336.8760064412
9900,5000000,6538177,2006-01-06,9353086.792366412,2006,6.55,7152671.755725191,998194.9618320611
9912,25000000,0,2005-10-12,0.0,2005,6.41,36544461.778471135,0.0
9916,0,0,2007-02-09,0.0,2007,6.88,0.0,0.0
9918,0,42647449,2006-01-13,61008640.783206105,2006,6.55,0.0,6511060.916030535
9930,40000000,93151591,1986-06-18,235264260.82749325,1986,3.71,101024258.7601078,25108245.552560646
9945,20000000,0,1998-04-15,0.0,1998,4.69,39957356.076759055,0.0
9955,53000000,0,2007-03-30,0.0,2007,6.88,72181686.04651162,0.0
9957,0,0,2006-04-07,0.0,2006,6.55,0.0,0.0
9969,51000000,47231070,2006-11-22,67565668.07633588,2006,6.55,72957251.90839694,7210850.38167939
9991,0,0,2001-12-26,0.0,2001,5.66,0.0,0.0
10008,14000000,29612137,2005-05-05,43286384.35101403,2005,6.41,20464898.595943835,4619678.159126365
10034,0,0,2001-07-16,0.0,2001,5.66,0.0,0.0
10040,0,101393569,2005-03-11,148214936.276131,2005,6.41,0.0,15818029.485179408
10050,22000000,0,2001-03-08,0.0,2001,5.66,36420494.69964664,0.0
10070,3200000,658573,2005-10-14,962687.8330733228,2005,6.41,4677691.107644305,102741.4976599064
10071,0,0,2007-09-07,0.0,2007,6.88,0.0,0.0
10074,0,14334401,2007-08-03,19522287.40843023,2007,6.88,0.0,2083488.5174418604
10075,0,0,2007-01-26,0.0,2007,6.88,0.0,0.0
10105,780000,0,2003-09-11,0.0,2003,6.03,1212039.8009950246,0.0
10115,0,0,2006-04-21,0.0,2006,6.55,0.0,0.0
10133,7500000,0,2002-10-01,0.0,2002,5.81,12095524.95697074,0.0
10154,0,0,1999-08-16,0.0,1999,5.08,0.0,0.0
10162,3000000,43515982,1998-09-15,86939179.39019188,1998,4.69,5993603.4115138585,9278460.980810234
10167,13000000,19233280,2002-11-15,31018215.765920825,2002,5.81,20965576.592082616,3310375.2151463
10179,9000000,0,1984-03-16,0.0,1984,3.36,25098214.285714287,0.0
10183,0,0,2008-08-01,0.0,2008,7.18,0.0,0.0
10212,12000000,0,1999-03-16,0.0,1999,5.08,22133858.267716534,0.0
10214,84000000,0,2005-02-18,0.0,2005,6.41,122789391.575663,0.0
10219,35000000,0,1999-12-22,0.0,1999,5.08,64557086.614173226,0.0
10223,30000000,16316273,1998-12-11,32597756.505330484,1998,4.69,59936034.11513858,3478949.466950959
10279,22000000,19288130,1999-07-02,35576727.97244094,1999,5.08,40578740.157480314,3796875.9842519686
10280,0,0,1996-10-25,0.0,1996,4.42,0.0,0.0
10350,30000000,0,1999-03-11,0.0,1999,5.08,55334645.66929133,0.0
10357,90000000,122823468,1997-04-25,250731131.84313726,1997,4.59,183725490.19607842,26758925.49019608
10383,50000000,31355910,2000-10-13,54509253.56215213,2000,5.39,86920222.63450834,5817423.005565863
10390,50000000,46112640,1999-09-17,85054219.84251967,1999,5.08,92224409.44881889,9077291.338582678
10391,40000000,0,2000-08-11,0.0,2000,5.39,69536178.10760668,0.0
10393,50000000,50054511,2000-08-07,87014984.79962894,2000,5.39,86920222.63450834,9286551.20593692
10395,70000000,131002597,1994-06-17,293658931.55263156,1994,4.18,156913875.59808612,31340334.210526317
10410,35000000,0,1992-12-25,0.0,1992,4.15,79024096.38554215,0.0
10413,0,0,1993-01-15,0.0,1993,4.14,0.0,0.0
10416,60000000,0,2000-03-03,0.0,2000,5.39,104304267.16141002,0.0
10437,12000000,27281507,1992-12-10,61597041.10602409,1992,4.15,27093975.903614454,6573857.108433735
10445,22000000,25842000,1993-12-25,58487811.59420289,1993,4.14,49792270.53140096,6242028.985507247
10468,43000000,0,2000-04-06,0.0,2000,5.39,74751391.46567719,0.0
10472,9000000,0,2000-01-21,0.0,2000,5.39,15645640.074211502,0.0
10480,24000000,0,2000-09-08,0.0,2000,5.39,41721706.86456401,0.0
10496,0,10155690,1999-10-22,18732050.25590551,1999,5.08,0.0,1999151.5748031496
10535,18000000,0,1996-05-24,0.0,1996,4.42,38158371.04072398,0.0
10549,0,0,1996-12-25,0.0,1996,4.42,0.0,0.0
10563,20000000,0,1999-10-22,0.0,1999,5.08,36889763.77952755,0.0
10569,0,0,2000-05-19,0.0,2000,5.39,0.0,0.0
10588,109000000,133818283,2003-11-21,207939852.6882255,2003,6.03,169374792.70315087,22192086.733001657
10603,55000000,174463257,1997-07-15,356148304.59477127,1997,4.59,112276688.45315903,38009424.18300654
10610,41000000,0,2003-08-15,0.0,2003,6.03,63709784.41127694,0.0
10615,0,0,2001-06-29,0.0,2001,5.66,0.0,0.0
10628,0,0,2003-01-17,0.0,2003,6.03,0.0,0.0
10641,65000000,0,2000-08-11,0.0,2000,5.39,112996289.42486085,0.0
10642,0,0,2000-07-21,0.0,2000,5.39,0.0,0.0
10655,25000000,12700000,1993-10-08,28743719.806763284,1993,4.14,56582125.60386473,3067632.850241546
10685,33000000,0,2000-09-08,0.0,2000,5.39,57367346.93877551,0.0
10705,9000000,0,1989-10-05,0.0,1989,3.97,21241813.602015108,0.0
10710,40000000,0,2004-04-30,0.0,2004,6.21,60354267.31078904,0.0
10727,0,0,2003-01-24,0.0,2003,6.03,0.0,0.0
10735,20000000,50732139,2003-03-27,78832527.76616915,2003,6.03,31077943.615257043,8413290.049751243
10739,0,0,2003-08-27,0.0,2003,6.03,0.0,0.0
10740,20000000,0,2004-09-08,0.0,2004,6.21,30177133.65539452,0.0
10741,0,0,2006-09-05,0.0,2006,6.55,0.0,0.0
10743,15000000,23014206,2003-04-25,35761709.820895515,2003,6.03,23308457.71144278,3816617.910447761
10744,32000000,0,2003-01-17,0.0,2003,6.03,49724709.78441127,0.0
10748,0,0,2007-12-21,0.0,2007,6.88,0.0,0.0
10765,0,0,1980-10-06,0.0,1980,2.69,0.0,0.0
